com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
86037,,2023-11-07 05:53:50.127,,,2023-11-07 12:48:31.900,2023-11-07 12:48:31.900,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 05:55:16.164,b1bcd3e0-f1d2-4f6b-bdc6-80ccb080213d,
77035,,2023-11-07 06:04:22.818,,,2023-11-07 12:48:31.900,2023-11-07 12:48:31.900,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:05:39.853,61e73194-b253-4f90-9ace-32f7a4c0d449,
349723,,2023-11-07 06:06:19.108,,,2023-11-07 12:48:31.901,2023-11-07 12:48:31.901,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:12:08.831,3389fcd5-fc75-4859-83bb-b07346c83dc5,
326953,,2023-11-07 06:12:48.552,,,2023-11-07 12:48:31.901,2023-11-07 12:48:31.901,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:18:15.505,a4f0f6b0-0af8-4825-bb51-8fb6f2e15a0e,
111947,,2023-11-07 06:44:17.626,,,2023-11-07 12:48:31.901,2023-11-07 12:48:31.901,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:46:09.573,f67f4f8e-910c-46a4-8ab9-f444f52166e8,
82041,,2023-11-07 06:48:52.445,,,2023-11-07 12:48:31.901,2023-11-07 12:48:31.901,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:50:14.486,a89f6fd5-1e31-4343-8be6-ac57be9c2de4,
326673,,2023-11-07 06:50:48.461,,,2023-11-07 12:48:31.902,2023-11-07 12:48:31.902,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:56:15.134,d45b4eec-ce90-4b5e-a287-6c92c8c4b0da,
80091,,2023-11-07 06:56:48.558,,,2023-11-07 12:48:31.902,2023-11-07 12:48:31.902,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 06:58:08.649,d1414a25-f2d6-49d9-84ad-2625b90771b4,
87141,,2023-11-07 07:00:18.553,,,2023-11-07 12:48:31.902,2023-11-07 12:48:31.902,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:01:45.694,f8daaebd-a5fa-4c44-ae18-1c1e8e6ecf6c,
1108065,,2023-11-07 07:02:16.419,,,2023-11-07 12:48:31.903,2023-11-07 12:48:31.903,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:20:44.484,8b3ed5e9-f9e4-4b49-b19a-1fa3e5fbe694,
359553,,2023-11-07 07:21:46.604,,,2023-11-07 12:48:31.903,2023-11-07 12:48:31.903,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:27:46.157,4d54f9b3-fd58-4149-9d28-b6ca578a218c,
296395,,2023-11-07 07:29:46.422,,,2023-11-07 12:48:31.903,2023-11-07 12:48:31.903,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:34:42.817,09189585-a9ee-43a6-8088-06020b227c1e,
414176,,2023-11-07 07:36:48.831,,,2023-11-07 12:48:31.903,2023-11-07 12:48:31.903,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:43:43.007,bec4a06a-9c3b-498e-ae6a-39ae9e1ac049,
148438,,2023-11-07 07:45:46.419,,,2023-11-07 12:48:31.904,2023-11-07 12:48:31.904,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:48:14.857,5511856a-642e-4bb1-9680-b2201c0eeccc,
288240,,2023-11-07 07:48:54.297,,,2023-11-07 12:48:31.904,2023-11-07 12:48:31.904,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:53:42.537,777d03e0-64a4-4a26-9137-196821c7cdd3,
82042,,2023-11-07 07:54:21.520,,,2023-11-07 12:48:31.904,2023-11-07 12:48:31.904,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 07:55:43.562,927e97f4-68e6-48ff-a2ae-e5345d44d976,
148159,,2023-11-07 08:02:46.698,,,2023-11-07 12:48:31.905,2023-11-07 12:48:31.905,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 08:05:14.857,69983304-e312-490d-a391-4859ec5412b8,
168796,,2023-11-07 08:05:50.036,,,2023-11-07 12:48:31.905,2023-11-07 12:48:31.905,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 08:08:38.832,65a55448-79d8-4e0d-8f32-a49b50da5e32,
146859,,2023-11-07 08:11:47.443,,,2023-11-07 12:48:31.905,2023-11-07 12:48:31.905,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 08:14:14.302,ce490f6b-c15b-4856-b93a-283bae56e5b6,
147787,,2023-11-07 08:45:17.813,,,2023-11-07 12:48:31.905,2023-11-07 12:48:31.905,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 08:47:45.600,7576cef3-6ed5-4e61-a379-3b445025f06f,
81852,,2023-11-07 08:48:47.632,,,2023-11-07 12:48:31.906,2023-11-07 12:48:31.906,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-07 08:50:09.484,3e5ff251-cfd9-4dd2-b1b6-6d7881a28679,
